aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
auxiliaries auxiliar la auxiliares
auxiliary auxiliar la auxiliar
avail provecho
availabilities disponibilidades
availability disponibilidad
availe provecho
availed provecho
avails provechos
avalanche avalancha
avalanches avalanchas
avarice avaricia
avarices avaricias
avenger vengador
avengers vengadores
avenue avenida
avenues avenidas
average promedio
averages promedios
aversion aversión
aviaries pajareras
aviary pajarera
aviation aviación
aviator aviador
aviators aviadores
avisement deliberación
avocado aguacate
avocados aguacates
avocate defensor
avoidance evitar
avoidances evitares
awakeness conciencia
awakenings despertares
award premio
awards premios
awareness conciencia
awarn premio
awarns premios
awatch reloj
awdl punzón
awdls punzónes
awe sobrecogimiento
awes sobrecogimientos
awesomeness genialidad
awheel rueda
awkwardness torpeza
awl punzón
awls punzónes
awnings toldos
awork trabajo
awrong mal
ax hacha
axed hacha
axilla axila
axillae axila
axiom axioma
axioms axiomas
axis eje
axises ejes
axle eje
axles ejes
axman hombre
axmen amén
axolotl axolote
axolotls axolotes
aye a favor
aymara aymara la aymara
aymaras aymara la aymaras
ayres montónes
ayus ano
azalea azalea
azaleas azaleas
azide aparte
azides asistentes
aztec azteca
aztecs aztecas
azure azur
azures azures
azury azur
baa balido
baaings balidos
baal pelota
baas balidos
bab bebé
babbie parloteo
babble parloteo
babbles parloteos
babbliest champán
babblings balbuceos
babe cariño
babes cariños
babier bebé
babies bebés
babiest bebé
baboon babuino
baboons babuinos
babu bebé
baby bebé
babyfood comida para bebé
babysitter niñero
babysitters niñeros
bacca baya
baccalaureate licenciatura
baccalaureates licenciaturas
baccas bayas
bachelor soltero
bachelors solteros
bachs solteros
backache dolor de espalda
backaches dolor de espaldas
backboard tablero
backboards tableros
backbond columna vertebral
backbonds columna vertebrales
backbone columna vertebral
backbones columna vertebrales
backdrop telón de fondo
backdrops telón de fondos
backer partidario
backers partidarios
backet canasta
backets soportes
backfile petardeo
backflip voltereta hacia atrás
backflips voltereta hacia atráses
backgammon backgammones
background fondo
backgrounds fondos
backhand revés
backhands revéses
backing respaldo
backings respaldos
backland revés
backlands revéses
backlash reacción violenta
backlashes reacción violentas
backlog trabajo atrasado
backlogs trabajo atrasados
backout apagón
backpack mochila
backpacker mochilero
backpackers mochileros
backpacks mochilas
backroom trastienda
backs espaldas
backseat asiento trasero
backside trasero
backsides traseros
backslash barra invertida
backslashes barra invertidas
backspace tecla de retroceso
backspaces tecla de retrocesos
backstroke espalda
backstrokes espaldas
backup apoyo
backups apoyos
backwardness atraso
backwash estela
backwashes estelas
backyard jardín trasero
backyards jardín traseros
bacon tocino
baconer tocino
baconers tocinos
bacons tocinos
bacterium bacteria
bacup apoyo
badass machote
baddie malo
baddies malos
bader panadero
badge insignia
badger tejón
badgers tejónes
badges insignias
badminton bádminton
badmintons bádmintones
badness maldad
bael pelota
baels  pelotases
baez nene
baff aficionado
baffies bafles
baffle bafle
baffles bafles
baffs aficionados
baft murciélago
bag bolsa
bagel bagel
bagels bageles
baggage equipaje
baggages equipajes
baggers tejónes
bagley cebada
bagman ordenanza
bagmen barman
bags  bolsases
baguette baguette
baguettes baguettes
baht murciélago
bahts murciélagos
bail fianza
bailer achicador
bailers achicadores
bailey muralla exterior
baileys muralla exteriores
bailies fianzas
bailiff alguacil
bailiffs alguaciles
baillies macho cabríos
bailor comodante
bailors comodantes
bails fianzas
bain cerebro
bains los sesoses
baird pájaro
bait cebo
baiter bateador
baiters bateadores
baitings cebos
baits cebos
bakeboard rodapié
bakeboards rodapiés
baken platillo al horno
baker panadero
bakeries panaderías
bakers panaderos
bakery panadería
bakings horneares
bakst líber
baku platillo al horno
balaclava pasamontañas
balaclavas pasamontañases
balaklava pasamontañas
balance equilibrio
balancer equilibrio
balancers equilibrios
balances equilibrios
balconies balcónes
balcony balcón
balderdash  tonterías
balderdashes  tonteríases
baldies calvos
baldness calvicie
baldy calvo
bale fardo
baler empacadora
balers empacadoras
bales fardos
balker panadero
balkers panaderos
balkings viga de maderas
balks viga de maderas
ball pelota
ballad balada
ballads baladas
ballans baladas
ballant lastre
ballants lastres
ballard balada
ballast lastre
ballasts lastres
ballat ballet
ballats lastres
ballerina bailarina
ballerinas bailarinas
ballerine bailarina
ballets ballets
ballings pelotas
ballo pelota
ballocks bueyes
ballon globo
ballons globos
balloon globo
balloons globos
ballot votación
ballots votaciones
ballow bramido
ballows bramidos
ballpen toril
ballpoint bolígrafo
ballroom salón de baile
ballrooms salón de bailes
balls  pelotases
balm bálsamo
balms bálsamos
baloney  tonterías
balsas balsas
balt pelota
balu pelota
balus  pelotas
balustrade balaustrada
balustrades balaustradas
bambino bambino
bambinos bambinos
bamboo bambú
bamboos bambús
ban prohibición
band banda
bandage vendaje
bandages vendajes
bandana pañuelo
bandanas pañuelos
bande banda
bandit bandido
bandits bandidos
banditti bandido
bands bandas
bandster barandilla
bandsters barandillas
bandwagon carroza de los músicos
bandwagons carroza de los músicoses
bandwidth ancho de banda
bandwidths ancho de bandas
bane ruina
bang golpe
banger salchicha
bangers salchichas
bangladeshi bangladesí la bangladesí
bangladeshis bangladesí la bangladesí
bangle brazalete
bangles brazaletes
bangor salchicha
bangster barandilla
bangsters barandillas
bani bandas
banishment destierro
banister barandilla
banisters barandillas
banjo banyo
banjoes banyos
banjos banyos
bank banco
banker banquero
bankers banqueros
banket manta
banking banca
banknote billete de banco
banknotes billete de bancos
bankruptcies quiebras
bankruptcy quiebra
bankrupts quebrado la quebradas
banks bancos
banner bandera
banners banderas
bannister barandilla
banquet banquete
banqueters banquetes
banquets banquetes
bans prohibiciones
banshee espíritu de mujer cuyo llanto presagia una muerte
banshees espíritu de mujer cuyo llanto presagia una muertes
bant murciélago
banter  bromas
banters  bromases
bantings los banderineses
bants murciélagos
baobab baobab
baobabs baobabs
baptise bautismo
baptises bautismos
baptism bautismo
baptisms bautismos
baptist baptista
baptists baptistas
barb lengüeta
barbadians barbadenses
barbarian bárbaro
barbarians bárbaros
barbarism barbarie
barbarisms barbaries
barbecue parrillada
barbecues parrilladas
barbell haltera
barbells halteras
barbeque parrillada
barbeques parrilladas
barber peluquero
barbering peluquero
barberries agracejos
barberry agracejo
barbers peluqueros
barbershop barbería
barbes lengüetas
barbette pasador
barbettes pasadores
barbie parrilla
barbies bebés
barbitones barítonos
bard bardo
bards bardos
barege barcaza
barf vómito
barfing vómito
barfs vómitos
bargain ganga
bargaining  negociaciones
bargains gangas
barge barcaza
barges barcazas
bargie barcaza
bargle barcaza
barilla barrilla
baritone barítono
baritones barítonos
barium bario
bark corteza
barkan barman
barkier barrera
barkis corteza
barks cortezas
barley cebada
barleys cebadas
barlow carreta
barman barman
barmen barmanes
barn granero
barnacle bálano
barnacles bálanos
barnard corral
barnes graneros
barnet bronca
barney bronca
barneys broncas
barns graneros
barnum bario
barnyard corral
barnyards corrales
barometer barómetro
barometers barómetros
baron barón
barongs barónes
baronnes barónes
barons barónes
baroque Barroco
baroques Barrocos
barque corpiño
barques corpiños
barracks cuarteles
barracuda barracuda
barracudas barracudas
barrage aluvión
barrages aluviones
barre barra
barrel barril
barrels barriles
barrette pasador
barretter pasador
barretters pasadores
barrettes pasadores
barricade barricada
barricades barricadas
barricadoed barricada
barrier barrera
barriers barreras
barrister abogado
barristers abogados
barrow carreta
barrows carretas
bars  rejases
barstool taburete
barstools taburetes
bartender bartender
bartenders bartenderes
barter trueque
bartering trueque
barters trueques
barton barón
bartons bastónes
baryon barón
baryons barónes
basalt basalto
basalts basaltos
bascule puente de báscula
base base
baseball béisbol
baseballs béisboles
baseboard rodapié
baseboards rodapiés
baseline línea de base
baseliner línea de base
baselines línea de bases
baseman jugador de base
basemen jugador de base
basement sótano
basements sótanos
baser base
bash golpe
basher bañista
bashers bañistas
bashes golpes
bashi golpe
bashings palizas
basie base
basil albahaca
basilica basílica
basilican basílica
basils albahacas
basin lavabo
basins lavabos
basis base
basket canasta
basketball básquetbol
basketballs básquetboles
baskets canastas
basque corpiño
basques corpiños
bass bajo
basse base
basses bajos
bassi bajo
bassinet moisés
bassinets moiséses
bassist bajista
bassists bajistas
basso bajo
bassoon fagot
bassoons fagots
bassos bajos
bassy bajo
bast líber
bastard cabrón
bastards cabrónes
basters güeyes
bastion bastión
basts líberes
bat murciélago
batch lote
batches lotes
bath bañera
bather bañista
bathers bañistas
bathes baños
bathing bañarse
bathmat alfombrilla de baño
bathrobe bata de baño
bathrobes bata de baños
bathroom baño
bathrooms baños
baths piscinas
bathtub bañera
bathtubs bañeras
batler bateador
batlers bañistas
batley cebada
batman ordenanza
batmen ordenanzas
baton bastón
batons bastónes
bats murciélagos
batt trasero
battalion batallón
battalions batallónes
battel batalla
battels batallas
batter bateador
batterie batería
batteries baterías
batters bateadores
battery batería
batting bateo
battings bateos
battle batalla
battlefield campo de batalla
battlefields campo de batallas
battleground campo de batalla
battlegrounds campo de batallas
battler batalla
battlers batallas
battles batallas
battleship acorazado
battleships acorazados
batts murciélagos
battues batallas
bauble chuchería
baubles chucherías
bauer panadero
baum vagabundo
baurs  rejases
bawbles chucherías
bawley cebada
bawleys muralla exteriores
bawn granero
bawns prohibiciones
bawrs  rejases
bax lo malo
baxter bateador
bay bahía
bayles fianzas
bayou pantano
bayous pantanos
bays bahías
bazaar bazar
bazaars bazares
beach playa
beachcomber raquero
beachcombers raqueros
beaches playas
beacon faro
beacons faros
bead cuenta
beadle pertiguero
beadles pertigueros
beads collares
beagle beagle
beagler beagle
beaglers beagles
beagles beagles
beak pico
beaker vaso de precipitados
beakers vaso de precipitadoses
beaks picos
beam viga
beamer castor
beamers castores
beams vigas
bean frijol
beanie gorra de lana
beanies bencedrinas
beano frijol
beanos frijoles
beans frijoles
beanstalk tallo de frijol
beanstalks tallo de frijoles
beany frijol
bear oso
beard barba
beards barbas
bearer portador
bearers portadores
bearings relaciones
bears osos
beast bestia
beasties bellezas
beastings palizas
beasts bestias
beat ritmo
beate ritmo
beater batidor
beaters batidores
beath playa
beaths ritmos
beatings palizas
beatitude beatitud
beatitudes beatitudes
beatles escarabajos
beats ritmos
beau novio
beautician esteticista
beauticians esteticistas
beauties bellezas
beauty belleza
beaux novio
beaver castor
beavers castores
beavery castor
bechamel bechamel
bechamels bechameles
beches playas
beck arroyo
becker vaso de precipitados
becks arroyos
becky arroyo
